Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
UX2026	UX2026-208	+	3	4/6/2022	0		Kinston	75	159
UX2026	UX2026-179	+	2	4/13/2022	1		Kinston	85	166
UX2026	UX2026-165	+	3	4/5/2022	1		Kinston	85	158
UX2026	UX2026-178	+	2	4/11/2022	1		Kinston	75	164
UX2026	UX2026-164	-	3	4/6/2022	1		Kinston	80	159
UX2026	UX2026-207	+	3	4/5/2022	1		Kinston	80	158
UX2026	UX2026-340	-	2	4/9/2022	0		Kinston	85	162
UX2026	UX2026-206	-	4	4/4/2022	1		Kinston	85	157
Parent	NC8248-1	+	4	3/31/2022	0		Kinston	80	153
UX2026	UX2026-163	+	3	4/7/2022	0		Kinston	75	160
UX2026	UX2026-176	+	2	4/6/2022	1		Kinston	70	159
UX2026	UX2026-175	+	2	4/11/2022	1		Kinston	75	164
UX2026	UX2026-161	+	4	4/3/2022	0		Kinston	75	156
UX2026	UX2026-205	-	1	4/10/2022	0		Kinston	65	163
UX2026	UX2026-339	*	3	4/5/2022	0		Kinston	75	158
UX2026	UX2026-334	-	1	4/11/2022	1		Kinston	70	164
UX2026	UX2026-203	+	3	4/9/2022	0		Kinston	80	162
UX2026	UX2026-173	+	2	4/7/2022	0		Kinston	75	160
UX2026	UX2026-168	+	2	4/8/2022	0		Kinston	75	161
UX2026	UX2026-172	-	3	4/6/2022			Kinston	80	159
UX2026	UX2026-167	+	3	4/11/2022			Kinston	85	164
Parent	NC08-23383	-	2	4/11/2022			Kinston	75	164
UX2026	UX2026-202	+	3	4/7/2022			Kinston	80	160
UX2026	UX2026-201	+	3	4/6/2022			Kinston	85	159
UX2026	UX2026-311	+	2	4/10/2022			Kinston	110	163
UX2026	UX2026-154	-	3	4/7/2022			Kinston	85	160
UX2026	UX2026-335	-	2	4/8/2022			Kinston	80	161
Parent	ARGA051160-14LE31	-	2	4/11/2022			Kinston	90	164
UX2026	UX2026-155	-	3	4/8/2022			Kinston	85	161
UX2026	UX2026-327	+	2	4/8/2022			Kinston	80	161
UX2026	UX2026-197	-	2	4/7/2022			Kinston	70	160
