Location,Cross_ID,Entry,Awns,WDR,Powdery_mildew,SNB,Height,Rust,ave_SpS,ave_infert,WeightOf1000Particles,SampleAreaAverage,WKAreaMedian,days_to_head,seeds_per_spikelet
Kinston,Parent,AGS2000,1,3.3333333333333335,NA,NA,89.66666666666667,NA,NA,NA,NA,NA,NA,156.26666666666668,NA
Kinston,Parent,ARGA051160-14LE31,0.03333333333333333,2,NA,NA,90.33333333333333,NA,NA,NA,NA,NA,NA,164.06666666666666,NA
Kinston,Parent,GA001138-8E36,1,3.2333333333333334,NA,NA,97.83333333333333,NA,NA,NA,NA,NA,NA,161.63333333333333,NA
Kinston,Parent,GA00190-7A14,1,2.4,NA,NA,85.83333333333333,NA,NA,NA,NA,NA,NA,160.6,NA
Kinston,Parent,GA05450-EL52,1,2.7666666666666666,NA,NA,83.16666666666667,NA,NA,NA,NA,NA,NA,157.16666666666666,NA
Kinston,Parent,GA06493-13LE6,1,1.8333333333333333,NA,NA,86.33333333333333,NA,NA,NA,NA,NA,NA,165.2,NA
Kinston,Parent,Hilliard,1,1.5,NA,NA,83.33333333333333,NA,NA,NA,NA,NA,NA,164.7,NA
Kinston,Parent,LA09264C-P2,1,3.8,NA,NA,79.33333333333333,NA,NA,NA,NA,NA,NA,150.46666666666667,NA
Kinston,Parent,MPV57,0,1.2666666666666666,NA,NA,76.66666666666667,NA,NA,NA,NA,NA,NA,167.96666666666667,NA
Kinston,Parent,NC08-23383,0,1.9,NA,NA,79.16666666666667,NA,NA,NA,NA,NA,NA,165.06666666666666,NA
Kinston,Parent,NC8248-1,1,3.533333333333333,NA,NA,83.83333333333333,NA,NA,NA,NA,NA,NA,152.53333333333333,NA
Kinston,Parent,SS8641,0,2.533333333333333,NA,NA,88.66666666666667,NA,NA,NA,NA,NA,NA,161.7,NA
Kinston,Parent,TX12D4896,1,3.2,NA,NA,85.73333333333333,NA,NA,NA,NA,NA,NA,159.43333333333334,NA
Kinston,UX1989,UX1989-1,1,2,NA,NA,100,0,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-10,1,2,0,NA,95,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-100,1,3,NA,NA,95,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-102,1,2,NA,NA,95,NA,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-103,1,2,NA,NA,95,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-104,1,2,0,NA,80,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-106,1,1,NA,NA,85,NA,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-107,1,3,NA,NA,80,NA,NA,NA,NA,NA,NA,156,NA
Kinston,UX1989,UX1989-108,1,2,NA,NA,80,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-109,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-110,1,4,NA,NA,85,NA,NA,NA,NA,NA,NA,155,NA
Kinston,UX1989,UX1989-111,1,3,0,NA,85,NA,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-112,1,2,NA,NA,85,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-113,1,4,NA,NA,85,NA,NA,NA,NA,NA,NA,163,NA
Kinston,UX1989,UX1989-114,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-115,1,2,1,NA,90,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-116,1,3,NA,NA,75,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-117,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-118,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-119,1,4,0,NA,85,NA,NA,NA,NA,NA,NA,154,NA
Kinston,UX1989,UX1989-12,1,3,1,NA,85,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-122,1,3,NA,NA,80,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-123,1,3,NA,NA,95,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-125,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-126,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,154,NA
Kinston,UX1989,UX1989-128,1,4,0,NA,95,NA,NA,NA,NA,NA,NA,156,NA
