family,trait,marker,MAF,p
UX1989,Awns,S3A_737648229,0.3819444444444444,1.6523896812089918e-6
UX1989,Awns,S3B_418882248,0.4409722222222222,7.359588365868177e-7
UX1989,Awns,S3B_474031098,0.4375,2.2302313959783953e-7
UX1989,Awns,S3B_475996338,0.4375,1.6022173178130516e-9
UX1989,Awns,S3B_475996378,0.4375,3.4550030243236125e-07
UX1989,Awns,S3B_494706673,0.4305555555555556,4.1931751135567924e-7
UX1989,Awns,S3B_547584938,0.4270833333333333,6.511550542007687e-7
UX1989,Awns,S5A_75355976,0.4722222222222222,3.1782862208423024e-7
UX1989,Awns,S5A_164067869,0.4722222222222222,7.09233818271675e-7
UX1989,Awns,S5A_169302618,0.4722222222222222,3.176796828735752e-7
UX1989,Awns,S5A_174574211,0.4722222222222222,7.043379955139307e-7
UX1989,Awns,S5A_658723152,0.2743055555555556,2.6989658945090608e-15
UX1989,Awns,S5A_663218059,0.4131944444444444,3.6595754417834563e-8
UX1989,Awns,S5A_663218064,0.4131944444444444,1.890743394527542e-8
UX1989,Awns,S5A_663320327,0.39236111111111116,3.1732978163704574e-15
UX1989,Awns,S5A_663721338,0.39236111111111116,2.383201163037457e-6
UX1989,Awns,S5A_671212775,0.4722222222222222,1.6214579893223943e-6
UX1989,Awns,S5A_673730203,0.4965277777777778,8.717737258895663e-13
UX1989,Awns,S5A_673738365,0.4965277777777778,9.679718879401628e-17
UX1989,Awns,S5A_678232514,0.48958333333333337,9.35334843026041e-14
UX1989,Awns,S5A_678294082,0.4895833333333333,6.17562224901255e-44
UX1989,Awns,S5A_680219236,0.48263888888888884,3.674977794562369e-43
UX1989,Awns,S5A_680980888,0.3680555555555556,1.6996075758605084e-39
UX1989,Awns,S5A_681251635,0.4479166666666667,2.644668690273697e-73
UX1989,Awns,S5A_682890015,0.4513888888888889,3.323514036157909e-8
UX1989,Awns,S5A_683782328,0.4513888888888889,5.705227708188688e-44
UX1989,Awns,S5A_688302437,0.4548611111111111,1.7091115541633215e-16
UX1989,Awns,S5A_689199932,0.4618055555555556,4.2858277070397847e-69
UX1989,Awns,S5A_689416848,0.4618055555555556,6.551243357270765e-105
UX1989,Awns,S5A_689416952,0.3958333333333333,4.072172910591223e-116
UX1989,Awns,S5A_705495294,0.3680555555555556,5.953659247703467e-22
UX1989,Awns,S5A_706444730,0.44791666666666663,4.140075043888303e-34
UX1989,Awns,S5A_706574241,0.44791666666666663,2.9003457561943815e-26
UX1989,Awns,S5A_708634151,0.4479166666666667,1.2744739268871124e-60
UX1989,Awns,S6A_18531136,0.4131944444444444,1.3420845783816784e-7
UX1989,Awns,S6B_34318077,0.38541666666666663,1.526017737277295e-8
UX1989,Awns,S7B_536555093,0.4965277777777778,1.1021440093284109e-6
UX1989,Awns,S7B_538050866,0.4965277777777778,1.4901723830740616e-6
UX1989,Awns,S7B_538124807,0.4965277777777778,6.295332101855961e-7
UX1989,Awns,S7B_540056850,0.4965277777777778,1.657603316494442e-8
UX1991,Awns,S3B_418882248,0.4925373134328358,7.359588365868177e-7
UX1991,Awns,S5A_658723152,0.35572139303482586,2.6989658945090608e-15
UX1991,Awns,S5A_663218059,0.39303482587064675,3.6595754417834563e-8
UX1991,Awns,S5A_663218064,0.35820895522388063,1.890743394527542e-8
UX1991,Awns,S5A_663320327,0.3532338308457711,3.1732978163704574e-15
UX1991,Awns,S5A_663721338,0.3532338308457711,2.383201163037457e-6
UX1991,Awns,S5A_666261379,0.3532338308457711,8.78453002989885e-8
UX1991,Awns,S5A_666524605,0.3532338308457711,1.4213665626374493e-8
UX1991,Awns,S5A_678202918,0.3656716417910448,2.803629627507285e-9
UX1991,Awns,S5A_678294082,0.3656716417910447,6.17562224901255e-44
UX1991,Awns,S5A_678624236,0.3656716417910448,2.6228759929571552e-108
UX1991,Awns,S5A_680073489,0.3656716417910447,1.0992794326966647e-32
UX1991,Awns,S5A_680980888,0.36318407960199006,1.6996075758605084e-39
UX1991,Awns,S5A_681251635,0.36318407960199006,2.644668690273697e-73
UX1991,Awns,S5A_682890015,0.36318407960199006,3.323514036157909e-8
UX1991,Awns,S5A_683782328,0.36318407960199006,5.705227708188688e-44
UX1991,Awns,S5A_684328885,0.35323383084577115,3.6638255501504904e-15
UX1991,Awns,S5A_684647849,0.35323383084577115,5.913639188839182e-20
UX1991,Awns,S5A_684753890,0.35323383084577115,2.609890878792564e-22
UX1991,Awns,S5A_684942630,0.35323383084577115,1.0708542825487259e-11
UX1991,Awns,S5A_685060242,0.35323383084577115,6.457533030728641e-12
UX1991,Awns,S5A_685101101,0.35323383084577115,5.102326881674065e-14
UX1991,Awns,S5A_687882443,0.31592039800995025,3.708079554316989e-108
UX1991,Awns,S5A_688302437,0.3532338308457711,1.7091115541633215e-16
UX1991,Awns,S5A_688926732,0.35323383084577115,7.957325754337078e-12
UX1991,Awns,S5A_689199932,0.36318407960199006,4.2858277070397847e-69
UX1991,Awns,S5A_689376973,0.3582089552238806,8.712991237541956e-16
UX1991,Awns,S5A_689416848,0.34577114427860695,6.551243357270765e-105
UX1991,Awns,S5A_689416952,0.38557213930348255,4.072172910591223e-116
UX1991,Awns,S5A_704972977,0.3383084577114428,8.743210551134994e-21
