ID,Date,Time,ProductType,InstrumentID,CalibrationFile,SWVersion,SampleName,SampleComments,SampleError,SampleWeight,NumberOfParticles,WeightOf1000Particles,RiceType,RiceTypeCalculatedBy,LabLMedian,LabAMedian,LabBMedian,LabLMode,LabAMode,LabBMode,WKWeightPerc,BrokenWeightPerc,OutlierWeightPerc,ChalkyWeightPerc,LightChalkyWeightPerc,TotalChalkyWeightPerc,BlackWeightPerc,RedWeightPerc,YellowWeightPerc,GreenWeightPerc,OtherWeightPerc,LongRiceWeightPerc,MediumRiceWeightPerc,ShortRiceWeightPerc,WKNumber,BrokenKernelsNumber,OutlierNumber,ChalkyKernelsNumber,LightChalkyKernelsNumber,TotalChalkyKernelsNumber,BlackKernelsNumber,RedKernelsNumber,YellowKernelsNumber,GreenKernelsNumber,OtherKernelsNumber,LongRiceNumber,MediumRiceNumber,ShortRiceNumber,WKPerc,BrokenKernelsPerc,OutlierKernelsPerc,ChalkyKernelsPerc,LightChalkyKernelsPerc,TotalChalkyKernelsPerc,BlackKernelsPerc,RedKernelsPerc,YellowKernelsPerc,GreenKernelsPerc,OtherKernelsPerc,LongRiceKernelsPerc,MediumRiceKernelsPerc,ShortRiceKernelsPerc,SampleLengthAverage,SampleWidthAverage,SampleAreaAverage,SampleLWAverage,WKWidthAverage,WKLengthAverage,WKAreaAverage,WKLWAverage,SampleWidthMedian,SampleLengthMedian,SampleAreaMedian,WKWidthMedian,WKLengthMedian,WKAreaMedian,SampleWidthSTDEV,SampleLengthSTDEV,SampleAreaSTDEV,WKWidthSTDEV,WKLengthSTDEV,WKAreaSTDEV,BrokenThreshold,OutlierThresholdWidth,OutlierThresholdLength,OutlierThresholdArea,OutlierThresholdLW,BrokenDefinedAsFailPerc,ChalkyDefinedAsFailPerc,LightChalkyDefinedAsFailPerc,BlackDefinedAsFailPerc,RedDefinedAsFailPerc,YellowDefinedAsFailPerc,GreenDefinedAsFailPerc,OtherDefinedAsFailPerc,ChalkyLabMin,ChalkyLabMax,LightChalkyLabMin,LightChalkyLabMax,BlackLabMin,BlackLabMax,RedLabMin,RedLabMax,YellowLabMin,YellowLabMax,GreenLabMin,GreenLabMax,OtherColorLabMin,OtherColorLabMax,LongRiceUSDAMin,LongRiceUSDAMax,MediumRiceUSDAMin,MediumRiceUSDAMax,ShortRiceUSDAMin,ShortRiceUSDAMax,AverageWKChalkyPercentage,std_l,std_a,std_b,sampleAveragePerimeter
1,2022_8_8,16:34:46,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-83_16-11-1_Ap,,,8.300,326,26.121,Medium,L/W,61.570,7.000,27.000,59.610,7.000,27.000,99.136,0.864,0.410,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.385,0.000,87.395,11.331,315,9,2,0,0,0,0,0,0,1,3,0,291,24,96.626,2.761,0.613,0.000,0.000,0.000,0.000,0.000,0.000,0.307,0.920,0.000,89.264,7.362,5.796,2.669,11.192,2.172,2.713,5.878,11.456,2.188,2.716,5.972,11.863,2.725,5.987,11.973,0.442,0.721,2.697,0.363,0.535,2.302,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.105,3.642,1.494,3.033,14.271
2,2022_8_8,16:36:49,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-145_16-11-2_Am,,,10.900,337,32.728,Mixed,L/W,60.780,9.000,33.000,63.140,10.000,35.000,99.985,0.015,0.435,0.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,70.714,28.835,333,1,3,0,11,11,0,0,0,0,0,0,255,78,98.813,0.297,0.890,0.000,3.264,3.264,0.000,0.000,0.000,0.000,0.000,0.000,75.668,23.145,6.131,3.022,13.660,2.029,3.036,6.144,13.741,2.047,3.092,6.176,14.280,3.099,6.184,14.295,0.433,0.571,2.807,0.410,0.522,2.691,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.013,3.825,1.487,2.660,15.396
3,2022_8_8,16:39:24,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-22_16-11-3_Ap,,,13.500,365,37.373,Mixed,L/W,55.690,10.000,32.000,59.220,10.000,35.000,99.938,0.062,0.172,0.000,3.644,3.644,0.000,0.000,0.000,0.000,0.000,0.000,74.523,25.243,361,2,2,0,16,16,0,0,0,0,0,0,281,80,98.904,0.548,0.548,0.000,4.384,4.384,0.000,0.000,0.000,0.000,0.000,0.000,76.986,21.918,6.212,3.083,14.019,2.015,3.107,6.224,14.138,2.018,3.150,6.312,14.782,3.150,6.317,14.791,0.449,0.608,3.014,0.388,0.591,2.804,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.044,4.002,1.788,3.074,15.632
4,2022_8_8,16:41:4,GRAINS,147,WHEAT,  7.0.30 ,Kin22_GA05450-EL52_16-11-4_Ap,,,9.800,251,39.044,Mixed,L/W,61.180,8.000,28.000,59.610,7.000,30.000,100.000,0.000,0.000,0.000,1.462,1.462,0.000,0.000,0.000,0.000,0.000,0.000,52.809,47.191,251,0,0,0,3,3,0,0,0,0,0,0,140,111,100.000,0.000,0.000,0.000,1.195,1.195,0.000,0.000,0.000,0.000,0.000,0.000,55.777,44.223,6.259,3.227,14.836,1.940,3.227,6.259,14.836,1.950,3.303,6.358,15.279,3.303,6.358,15.279,0.345,0.521,2.668,0.345,0.521,2.668,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.001,2.728,1.163,2.164,15.835
5,2022_8_8,16:42:40,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-96_16-12-1_Am,,,9.800,300,32.776,Mixed,L/W,60.780,9.000,32.000,63.140,10.000,35.000,100.000,0.000,0.130,0.000,1.380,1.380,0.000,0.000,0.000,0.000,0.000,0.000,44.539,55.331,299,0,1,0,5,5,0,0,0,0,0,0,155,144,99.667,0.000,0.333,0.000,1.667,1.667,0.000,0.000,0.000,0.000,0.000,0.000,51.667,48.000,5.923,3.125,13.541,1.895,3.131,5.926,13.567,1.910,3.216,5.976,14.085,3.216,5.977,14.088,0.388,0.473,2.450,0.378,0.472,2.412,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.003,3.389,1.475,2.527,15.125
6,2022_8_8,16:44:18,GRAINS,147,WHEAT,  7.0.30 ,Kin22_GA00190-7A14_16-12-2_Ap,,,9.900,221,45.205,Mixed,L/W,58.430,8.000,26.000,59.220,8.000,27.000,100.000,0.000,0.343,0.000,1.625,1.625,0.077,0.000,0.000,0.000,0.000,0.000,87.738,11.919,219,0,2,0,3,3,1,0,0,0,0,0,194,25,99.095,0.000,0.905,0.000,1.357,1.357,0.452,0.000,0.000,0.000,0.000,0.000,87.783,11.312,6.658,3.213,15.879,2.072,3.228,6.664,15.968,2.074,3.281,6.728,16.180,3.281,6.753,16.192,0.362,0.525,2.844,0.325,0.524,2.681,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.000,4.565,1.379,2.300,16.676
7,2022_8_8,16:45:55,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-35_16-12-3_Am,,,10.300,294,35.345,Mixed,L/W,59.220,8.000,30.000,59.610,8.000,33.000,99.858,0.142,0.293,0.000,0.574,0.574,0.000,0.000,0.000,0.000,0.000,0.000,66.648,32.917,291,1,2,0,2,2,0,0,0,0,0,0,206,85,98.980,0.340,0.680,0.000,0.680,0.680,0.000,0.000,0.000,0.000,0.000,0.000,70.068,28.912,6.113,3.101,13.890,1.972,3.111,6.128,13.967,1.985,3.150,6.162,14.198,3.150,6.171,14.209,0.390,0.571,2.744,0.373,0.543,2.652,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.001,3.359,1.402,2.326,15.437
8,2022_8_8,16:47:8,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-139_16-12-4_Ap,,,10.200,258,40.962,Mixed,L/W,60.390,8.000,28.000,59.220,8.000,31.000,99.594,0.406,0.553,0.101,2.321,2.422,0.000,0.000,0.000,0.025,0.046,0.000,56.197,42.845,248,6,4,1,11,12,0,0,0,1,1,0,152,96,96.124,2.326,1.550,0.388,4.264,4.652,0.000,0.000,0.000,0.388,0.388,0.000,58.915,37.209,6.305,3.206,14.835,1.967,3.278,6.404,15.281,1.974,3.324,6.446,15.649,3.344,6.493,15.765,0.542,0.745,3.575,0.406,0.497,2.818,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.004,3.868,1.792,3.742,15.927
9,2022_8_8,16:49:31,GRAINS,147,WHEAT,  7.0.30 ,Kin22_GA06493-13LE6_16-13-1_Ap,,,14.300,333,44.338,Mixed,L/W,59.610,9.000,29.000,59.610,8.000,30.000,99.529,0.471,0.652,0.000,1.316,1.316,0.000,0.000,0.000,0.000,0.021,0.000,86.125,12.752,321,6,6,0,6,6,0,0,0,0,1,0,280,41,96.396,1.802,1.802,0.000,1.802,1.802,0.000,0.000,0.000,0.000,0.300,0.000,84.084,12.312,6.691,3.237,16.310,2.067,3.278,6.766,16.648,2.073,3.280,6.821,17.136,3.298,6.839,17.231,0.368,0.718,3.039,0.296,0.488,2.447,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.002,3.398,1.624,2.897,16.892
10,2022_8_8,16:51:29,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2029-76_16-13-2_Am,,,11.700,335,34.990,Mixed,L/W,58.820,9.000,31.000,59.610,8.000,33.000,99.886,0.114,0.000,0.000,1.414,1.414,0.000,0.000,0.000,0.000,0.000,0.000,62.530,37.356,334,1,0,0,6,6,0,0,0,0,0,0,230,104,99.701,0.299,0.000,0.000,1.791,1.791,0.000,0.000,0.000,0.000,0.000,0.000,68.657,31.045,6.224,3.183,14.370,1.956,3.187,6.231,14.395,1.970,3.216,6.311,14.950,3.216,6.311,14.958,0.371,0.476,2.547,0.366,0.463,2.508,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.004,3.853,1.501,2.279,15.696
