id,p_Awns,p_WDR,p_Powdery_mildew,p_Height,p_ave_SpS,p_ave_infert,p_WeightOf1000Particles,p_SampleAreaAverage,p_WKAreaMedian,p_days_to_head,p_seeds_per_spikelet
S1A_1158046,0.767499747484355,0.9600650809368207,9.849171999907097e-84,0.07939309532303028,NA,NA,NA,NA,NA,0.7835206300495063,NA
S1A_1158055,0.4985824808685213,0.007413949128393193,1.730274486129511e-15,0.29755798582307114,1.600306886139052e-4,0.8442290051293521,0.9625892714873316,0.4552288005965107,0.7296861926616467,0.004347021983838563,0.3632694909162151
S1A_1159476,0.6463458421559571,0.31041098365377845,0.2909390354651744,0.3995041256796935,0.007056612914642814,0.7552442483398523,0.733366706014482,0.29603036570089447,0.5195674216923294,0.8577872951111979,0.26693007658191664
S1A_1232999,0.1834720869979178,0.5263701132809879,3.0448128796353183e-29,0.5830316987162356,0.002694500043481113,0.084032498206750475,0.006370224865583847,0.20051138698683782,0.010021013285320103,0.5310131349354932,0.4259976143586749
S1A_1236236,0.67642985638856,0.024037639614106335,1.74350699437576e-39,0.4283393833808836,NA,NA,NA,NA,NA,0.027371925120579458,NA
S1A_1238021,0.08592676193391534,0.006795648023918302,9.76930626940907e-5,0.27819991427523955,NA,NA,NA,NA,NA,0.1056423133955208,NA
S1A_1338362,0.84243015110238,0.31194059756703496,0.42804234219486725,0.8776244586943774,0.01510525152496674,0.7092430153468352,0.5072685665933162,0.2077430283466735,0.3183243926365941,0.9977980468574754,0.13969848308440713
S1A_1588248,0.44193808345139773,0.8303214416654552,0.04494113801930165,0.6061588274163237,0.5548442156491957,0.10373244678965206,0.8277759250489845,0.9339879057137133,0.7854916302468398,0.35521846769715637,0.8287107687333597
S1A_1647528,0.8632910569429599,0.7002906544488382,1.2063873573966124e-13,0.6335050606790861,0.3241278174423683,0.3809396435492268,0.33839600688692095,0.8068582187203072,0.4579158574913874,0.3892871453199438,0.29671332924001137
S1A_1673828,0.18403189202761633,0.002563384704083335,0.008716097593201596,0.6691252463822661,0.019597101881232627,0.590027311162113,0.04573531955751711,0.10743785121750281,0.048424196606920974,0.16138428280413195,0.6340816239234784
S1A_1686992,0.925860885440615,0.6837287102878415,0.056993831857183916,0.040383185334117486,NA,NA,NA,NA,NA,0.9162219743155307,NA
