id,p,LOG,chr,pos,FDR,bon,trait
S5A_477453719,7.371249735733021e-7,6.132458874784046,5A,477453719,1.869452389118536e-4,0.010655878617975656,WDR
S5A_478850467,1.508272795824104e-6,5.821520102095891,5A,478850467,3.695523989225974e-4,0.02180359153643325,WDR
S5A_561660493,2.8158144550002484e-10,9.550395965944833,5A,561660493,1.0437285579867588e-7,4.070541376148359e-6,WDR
S5A_564557123,8.158862844442883e-12,11.088370367569453,5A,564557123,3.5740764024020095e-9,1.1794452127926631e-7,WDR
S5A_564645435,1.064945332643061e-9,8.97267268550301,5A,564645435,3.665440411592403e-7,1.539484972868809e-5,WDR
S5A_564704040,2.579627488501104e-11,10.588443003869624,5A,564704040,1.096796910993293e-8,3.729109497377196e-7,WDR
S5A_565398445,6.918027551908951e-19,18.160017712686184,5A,565398445,4.1669585954331585e-16,1.000070062903958e-14,WDR
S5A_567502456,4.1248237751115704e-11,10.38459460108532,5A,567502456,1.6563459025836905e-8,5.962845249301286e-7,WDR
S5A_568046700,3.616820721138682e-8,7.441673017848787,5A,568046700,1.112441709463421e-5,5.228476034478079e-4,WDR
S5A_568234305,2.950866511714541e-21,20.530050436225903,5A,568234305,1.854683751884583e-18,4.2657726293345407e-17,WDR
S5A_568269383,1.3023912040773212e-12,11.885258545527343,5A,568269383,5.883552264419298e-10,1.8827367246141754e-8,WDR
S5A_568284128,1.6353714883998422e-18,17.78638357814962,5A,568284128,9.456372094523249e-16,2.364093023630812e-14,WDR
S5A_568550509,3.421103133216641e-13,12.465833833294694,5A,568550509,1.595337641734831e-10,4.945546689377976e-9,WDR
S5A_568889744,4.620322359266298e-8,7.335327722719507,5A,568889744,1.3914870838657002e-5,6.67913800255536e-4,WDR
S5A_570192258,2.125538104312868e-21,20.672531105072544,5A,570192258,1.4631799445688962e-18,3.072677883594682e-17,WDR
S5A_570788577,4.101848626004638e-14,13.387020370809173,5A,570788577,1.9765441245841017e-11,5.929632373752304e-10,WDR
S5A_572832639,2.6924745060217785e-21,20.56984840017352,5A,572832639,1.7692005208659467e-18,3.892241145905083e-17,WDR
S5A_573040321,1.2823287278352306e-22,21.89200062818358,5A,573040321,9.756496889255838e-20,1.8537344089586092e-18,WDR
S5A_573046918,1.0420243187774687e-9,8.982122145347802,5A,573046918,3.665440411592403e-7,1.5063503552247088e-5,WDR
S5A_575821560,3.905727976682149e-68,67.40829800742291,5A,575821560,1.8820401210305717e-64,5.646120363091715e-64,WDR
S5A_577787562,3.966079727307715e-18,17.40163855972684,5A,577787562,2.2051403283830897e-15,5.733364853796033e-14,WDR
S5A_577827993,1.8236830812682623e-38,37.73905063092804,5A,577827993,2.1969302185678334e-35,2.6363162622814e-34,WDR
S5A_577951255,2.5233452411872474e-36,35.59802332574679,5A,577951255,2.6055342004716322e-33,3.647747880660285e-32,WDR
S5A_577963056,5.722230951390263e-16,15.242434617888627,5A,577963056,3.063724838270283e-13,8.272057063329764e-12,WDR
S5A_578832139,2.0668462284898895e-31,30.684691833291684,5A,578832139,1.8673955674406153e-28,2.9878329079049845e-27,WDR
S5A_580048103,2.0399207807306495e-37,36.6903866978484,5A,580048103,2.268391908172482e-34,2.948909480624227e-33,WDR
S5A_580276757,4.165491162243229e-43,42.38033378261839,5A,580276757,6.021634024138812e-40,6.021634024138812e-39,WDR
S5A_580797168,6.005693097370034e-43,42.22143686486501,5A,580797168,7.892572674143746e-40,8.681829941558122e-39,WDR
S5A_581488651,1.7608438958392687e-46,45.75427914385137,5A,581488651,3.1818449197815585e-43,2.5454759358252468e-42,WDR
S5A_584456955,4.760175136179612e-63,62.32237706843977,5A,584456955,1.3762618353722493e-59,6.881309176861246e-59,WDR
S5A_585018041,6.659263053056206e-80,79.17657382934317,5A,585018041,4.8133153347490256e-76,9.626630669498051e-76,WDR
S5A_585200466,1.4096571909166548e-51,50.85088648890105,5A,585200466,2.9111434788415947e-48,2.0378004351891162e-47,WDR
S5A_585223490,2.2023458102900955e-81,80.65711448749445,5A,585223490,3.183711103355362e-77,3.183711103355362e-77,WDR
S5A_595373332,7.587421660121109e-8,7.119905779969767,5A,595373332,2.2004498391040584e-5,0.0010968376751871076,WDR
S5A_596009159,3.661919009202585e-24,23.436291265235134,5A,596009159,2.9409278442795873e-21,5.293670119703257e-20,WDR
S5A_596599151,1.9066410142900832e-26,25.719731068982867,5A,596599151,1.6213177942692613e-23,2.756240250257744e-22,WDR
S5A_597660738,1.6062818770391117e-45,44.79417824056365,5A,597660738,2.5800456460530443e-42,2.3220410814477396e-41,WDR
S5A_597750832,4.851569164062573e-64,63.31411777292871,5A,597750832,1.753357095892214e-60,7.013428383568856e-60,WDR
S5A_598072246,1.8179861288328402e-54,53.7404094347523,5A,598072246,4.38013457973459e-51,2.6280807478407537e-50,WDR
S5A_602433104,3.465484063973309e-36,35.46023609391525,5A,602433104,3.339802508586544e-33,5.009703762879815e-32,WDR
S5A_607673146,1.7180933605125038e-8,7.764953240473483,5A,607673146,5.644717640811081e-6,2.4836757619568756e-4,WDR
S5A_608879339,9.97985418089972e-22,21.000875804293116,5A,608879339,7.213438601954317e-19,1.4426877203908636e-17,WDR
S5A_611568887,3.0183600700674834e-7,6.520228953057544,5A,611568887,8.080261698684359e-5,0.004363341317289554,WDR
S5A_614792640,1.804310595794704e-8,7.74368870048087,5A,614792640,5.796247549512943e-6,2.608311397280824e-4,WDR
S5A_614892728,4.052635954842442e-11,10.392262406844047,5A,614892728,1.6563459025836905e-8,5.858490536320235e-7,WDR
S5A_631264575,4.4907520545933603e-7,6.347680922736113,5A,631264575,1.1592555660928861e-4,0.006491831170120162,WDR
S5A_640307765,2.055736338029122e-6,5.6870325872846745,5A,640307765,4.952954083758164e-4,0.029717724502548986,WDR
S5B_564112036,1.962481312652902e-10,9.707194470047865,5B,564112036,7.465692067292198e-8,2.836962985571035e-6,WDR
S5B_571811059,3.0178979122169493e-7,6.52029545538572,5B,571811059,8.080261698684359e-5,0.004362673221900822,WDR
S5B_572406272,7.610853068290185e-8,7.118566662271817,5B,572406272,2.2004498391040584e-5,0.001100224919552029,WDR
