Year,Location,Plot_ID,Tray,Entry,Cross-Id,Cross,GH_Awns,Plot,PH,HD,Awns
2021,Kinston,K21_SunRil_1,1.1.1,Barley,UX1992,Marker,+,1,NA,NA,NA
2021,Kinston,K21_SunRil_2,1.1.2,Hilliard,UX1992,Parent,+,2,100,104,1
2021,Kinston,K21_SunRil_3,1.1.3,GA06493-13LE6,UX1992,Parent,+,3,95,108,1
2021,Kinston,K21_SunRil_4,1.1.4,308,UX1992,GA06493-13LE6/HILLIARD,+,4,102.5,103,1
2021,Kinston,K21_SunRil_5,1.2.1,309,UX1992,GA06493-13LE6/HILLIARD,+,5,102.5,103,1
2021,Kinston,K21_SunRil_6,1.2.2,310,UX1992,GA06493-13LE6/HILLIARD,+,6,100,104,1
2021,Kinston,K21_SunRil_7,1.2.3,312,UX1992,GA06493-13LE6/HILLIARD,+,7,92.5,106,1
2021,Kinston,K21_SunRil_8,1.2.4,313,UX1992,GA06493-13LE6/HILLIARD,+,8,97.5,105,1
2021,Kinston,K21_SunRil_9,1.3.1,314,UX1992,GA06493-13LE6/HILLIARD,+,9,85,106,1
2021,Kinston,K21_SunRil_10,1.3.2,315,UX1992,GA06493-13LE6/HILLIARD,+,10,92.5,108,1
2021,Kinston,K21_SunRil_11,1.3.3,316,UX1992,GA06493-13LE6/HILLIARD,+,11,92.5,106,1
2021,Kinston,K21_SunRil_12,1.3.4,317,UX1992,GA06493-13LE6/HILLIARD,+,12,107.5,106,1
2021,Kinston,K21_SunRil_13,1.4.1,318,UX1992,GA06493-13LE6/HILLIARD,+,13,85,106,1
2021,Kinston,K21_SunRil_14,1.4.2,319,UX1992,GA06493-13LE6/HILLIARD,+,14,105,111,1
2021,Kinston,K21_SunRil_15,1.4.3,320,UX1992,GA06493-13LE6/HILLIARD,+,15,85,106,1
2021,Kinston,K21_SunRil_16,1.4.4,322,UX1992,GA06493-13LE6/HILLIARD,+,16,NA,106,1
2021,Kinston,K21_SunRil_17,1.5.1,323,UX1992,GA06493-13LE6/HILLIARD,+,17,97.5,106,1
2021,Kinston,K21_SunRil_18,1.5.2,324,UX1992,GA06493-13LE6/HILLIARD,+,18,82.5,106,1
2021,Kinston,K21_SunRil_19,1.5.3,325,UX1992,GA06493-13LE6/HILLIARD,+,19,97.5,104,1
2021,Kinston,K21_SunRil_20,1.5.4,327,UX1992,GA06493-13LE6/HILLIARD,+,20,100,106,1
2021,Kinston,K21_SunRil_21,1.6.1,328,UX1992,GA06493-13LE6/HILLIARD,+,21,95,103,1
2021,Kinston,K21_SunRil_22,1.6.2,329,UX1992,GA06493-13LE6/HILLIARD,+,22,97.5,102,1
2021,Kinston,K21_SunRil_23,1.6.3,330,UX1992,GA06493-13LE6/HILLIARD,+,23,92.5,104,1
2021,Kinston,K21_SunRil_24,1.6.4,331,UX1992,GA06493-13LE6/HILLIARD,+,24,100,104,1
2021,Kinston,K21_SunRil_25,1.7.1,332,UX1992,GA06493-13LE6/HILLIARD,+,25,97.5,103,1
2021,Kinston,K21_SunRil_26,1.7.2,333,UX1992,GA06493-13LE6/HILLIARD,+,26,100,103,1
2021,Kinston,K21_SunRil_27,1.7.3,334,UX1992,GA06493-13LE6/HILLIARD,+,27,95,106,1
2021,Kinston,K21_SunRil_28,1.7.4,336,UX1992,GA06493-13LE6/HILLIARD,+,28,85,105,1
2021,Kinston,K21_SunRil_29,1.8.1,337,UX1992,GA06493-13LE6/HILLIARD,+,29,95,106,1
2021,Kinston,K21_SunRil_30,1.8.2,338,UX1992,GA06493-13LE6/HILLIARD,+,30,100,104,1
2021,Kinston,K21_SunRil_31,1.8.3,Hilliard,UX1993,Parent,+,31,105,102,1
2021,Kinston,K21_SunRil_32,1.8.4,GA01138-8E36,UX1993,Parent,+,32,102.5,104,1
2021,Kinston,K21_SunRil_33,1.9.1,156,UX1993,GA001138-8E36/HILLIARD,+,33,105,102,1
2021,Kinston,K21_SunRil_34,1.9.2,157,UX1993,GA001138-8E36/HILLIARD,+,34,95,99,1
2021,Kinston,K21_SunRil_35,1.9.3,158,UX1993,GA001138-8E36/HILLIARD,+,35,90,107,1
2021,Kinston,K21_SunRil_36,1.9.4,159,UX1993,GA001138-8E36/HILLIARD,+,36,110,109,1
2021,Kinston,K21_SunRil_37,1.10.1,161,UX1993,GA001138-8E36/HILLIARD,+,37,97.5,106,1
2021,Kinston,K21_SunRil_38,1.10.2,160,UX1993,GA001138-8E36/HILLIARD,+,38,85,107,1
2021,Kinston,K21_SunRil_39,1.10.3,161,UX1993,GA001138-8E36/HILLIARD,+,39,95,109,1
2021,Kinston,K21_SunRil_40,1.10.4,162,UX1993,GA001138-8E36/HILLIARD,+,40,105,104,1
2021,Kinston,K21_SunRil_41,1.11.1,163,UX1993,GA001138-8E36/HILLIARD,+,41,100,108,1
2021,Kinston,K21_SunRil_42,1.11.2,164,UX1993,GA001138-8E36/HILLIARD,+,42,92.5,100,1
2021,Kinston,K21_SunRil_43,1.11.3,165,UX1993,GA001138-8E36/HILLIARD,+,43,105,105,1
2021,Kinston,K21_SunRil_44,1.11.4,168,UX1993,GA001138-8E36/HILLIARD,+,44,100,104,1
2021,Kinston,K21_SunRil_45,1.12.1,169,UX1993,GA001138-8E36/HILLIARD,+,45,105,103,1
2021,Kinston,K21_SunRil_46,1.12.2,170,UX1993,GA001138-8E36/HILLIARD,+,46,105,110,1
2021,Kinston,K21_SunRil_47,1.12.3,171,UX1993,GA001138-8E36/HILLIARD,+,47,90,108,1
2021,Kinston,K21_SunRil_48,1.12.4,172,UX1993,GA001138-8E36/HILLIARD,+,48,100,102,1
2021,Kinston,K21_SunRil_49,1.13.1,173,UX1993,GA001138-8E36/HILLIARD,+,49,100,105,1
2021,Kinston,K21_SunRil_50,1.13.2,174,UX1993,GA001138-8E36/HILLIARD,+,50,97.5,108,1
2021,Kinston,K21_SunRil_51,1.13.3,175,UX1993,GA001138-8E36/HILLIARD,+,51,100,104,1
2021,Kinston,K21_SunRil_52,1.13.4,176,UX1993,GA001138-8E36/HILLIARD,+,52,90,99,1
2021,Kinston,K21_SunRil_53,1.14.1,177,UX1993,GA001138-8E36/HILLIARD,+,53,97.5,99,1
2021,Kinston,K21_SunRil_54,1.14.2,178,UX1993,GA001138-8E36/HILLIARD,+,54,90,115,1
2021,Kinston,K21_SunRil_55,1.14.3,179,UX1993,GA001138-8E36/HILLIARD,+,55,85,104,1
2021,Kinston,K21_SunRil_56,1.14.4,180,UX1993,GA001138-8E36/HILLIARD,+,56,97.5,109,1
2021,Kinston,K21_SunRil_57,1.15.1,183,UX1993,GA001138-8E36/HILLIARD,+,57,87.5,98,1
2021,Kinston,K21_SunRil_58,1.15.2,184,UX1993,GA001138-8E36/HILLIARD,+,58,87.5,110,1
2021,Kinston,K21_SunRil_59,1.15.3,185,UX1993,GA001138-8E36/HILLIARD,+,59,97.5,111,1
2021,Kinston,K21_SunRil_60,1.15.4,186,UX1993,GA001138-8E36/HILLIARD,+,60,97.5,101,1
2021,Kinston,K21_SunRil_61,1.16.1,187,UX1993,GA001138-8E36/HILLIARD,+,61,85,104,1
2021,Kinston,K21_SunRil_62,1.16.2,188,UX1993,GA001138-8E36/HILLIARD,+,62,105,103,1
2021,Kinston,K21_SunRil_63,1.16.3,189,UX1993,GA001138-8E36/HILLIARD,+,63,100,103,1
2021,Kinston,K21_SunRil_64,1.16.4,191,UX1993,GA001138-8E36/HILLIARD,+,64,95,109,1
