id,p_WDR,p_Height,p_Rust,p_ave_SpS,p_ave_infert,p_WeightOf1000Particles,p_SampleAreaAverage,p_WKAreaMedian,p_days_to_head,p_seeds_per_spikelet
S1A_1158046,0.378392396738641,0.2897950117471548,0.16077459392696006,NA,NA,NA,NA,NA,0.5035937841082132,NA
S1A_1158055,0.046170396471858874,0.38705565911280715,0.43645351664523513,0.019960521599306606,0.9799419934532562,0.7086818359050905,0.567493877018524,0.6831345623907905,0.02902970296280983,0.35151930340138027
S1A_1159476,0.3412525099676207,0.29762040162933096,0.40920713768509465,0.08718521644051294,0.6898968552247219,0.8798223106937957,0.4088289926283285,0.6134229392341709,0.6853061151707442,0.43434866385912696
S1A_1232999,0.1467179695515909,0.25979991342510844,0.3145849846208674,0.03691155698354643,0.8233602819474517,0.03222865991352977,0.29661112890900165,0.022790187254998723,0.9565397326749732,0.7027682630929911
S1A_1236236,0.0043136747631903356,0.9100381351305095,0.05417875871333031,NA,NA,NA,NA,NA,0.2338968464916137,NA
S1A_1238021,0.01157221414087952,0.4707063448772527,0.6400402272804873,NA,NA,NA,NA,NA,0.18460845080441496,NA
S1A_1338362,0.42741026996576714,0.5972407475372052,0.482186564789981,0.18996804295722725,0.6799615403625449,0.903873365413762,0.36103580380120104,0.4172067552931745,0.8821469886270719,0.27569429706784954
S1A_1588248,0.8706545552771258,0.7950855708947018,0.49865734851444965,0.2251478764918973,0.04617071445289115,0.5123659154262713,0.8736407836539116,0.7399441890588107,0.24511742833932346,0.6891660396927723
S1A_1647528,0.40739040870343735,0.9336969760975804,0.014418765979229132,0.6469193699116548,0.9384812298997235,0.6701835801744169,0.95897020512364894,0.5636391956511028,0.3012892749713164,0.9362327172261736
S1A_1673828,0.009280954540974242,0.5106264359944166,0.8525494108690461,0.1637218665650219,0.8707732587001141,0.18439419490735764,0.15680706119758653,0.13695907664535206,0.24036338060666632,0.5435696901952352
S1A_1686992,0.353329278283112,0.022048905135150173,0.0026838853148809442,NA,NA,NA,NA,NA,0.6628135687216616,NA
S1A_1698908,0.04433126417800873,0.39074717101688383,0.7666276174409774,0.055216058468693194,0.8816789192388244,0.10316494606474416,0.15530504011143828,0.0725951133388015,0.32144211298027825,0.7628033117981371
S1A_1722425,0.03119832865437414,0.3318681709005933,0.6284640061487738,NA,NA,NA,NA,NA,0.917869288541048,NA
S1A_1838929,0.7711999508882766,0.5313123521110052,0.5575602777774191,0.6775367543552683,0.09666642921594928,0.630491210930032,0.1832986093196261,0.40979570677525623,0.9603890758135546,0.002421432349018588
S1A_1838947,0.2809051411908758,0.1479599401005422,0.2055660283415894,0.11519966259413296,0.21360111599459505,0.4726355873051403,0.033337231699898044,0.1396034902502384,0.6876321594913057,0.7841666937983115
S1A_1846809,0.4705624592539255,0.34835122636821747,0.5655616761964637,0.9397196200544049,0.09568938463428173,0.8031338197674371,0.1700378575145816,0.5719075164003775,0.7501514895444096,9.769606917438684e-4
S1A_1846831,0.990137156773178,0.4814298705348544,0.4527742553037001,0.07579171160713986,0.07721806456118253,0.6172733601993786,0.3466158584328487,0.8134311483617138,0.32725625975008943,7.906142192631679e-4
S1A_1989314,0.6928146132721695,0.04600156024450875,0.007985043143778979,0.8482927125791337,0.2999043772002458,0.6787310011853407,0.5069571769309164,0.8212958116993099,0.9195314383113409,0.023097347284213615
S1A_2155191,0.3481068601561621,0.8208234696675849,0.4698690631810464,0.07579171160713986,0.07721806456118253,0.6172733601993786,0.3466158584328487,0.8134311483617138,0.172238040328939,7.906142192631679e-4
S1A_2390246,0.9981403185878502,0.8812402957442637,0.050288582066768395,0.048726347184300633,0.699346506714162,0.06312421966535554,0.8839618662860685,0.26089257464111587,0.13502149130268576,0.06780975659797973
S1A_2926887,0.6946653267037501,0.4030275894335549,0.9854667098121692,0.03444061332493092,0.8407193514321482,0.07304656608906257,0.4501371324015965,0.05902706612208755,0.7378891938771989,0.983745345625313
S1A_2988801,0.8560045354917643,0.4796961126459651,0.6874556874952997,0.23339995133043764,0.688361355333275,0.36881415888768576,0.26153363128002777,0.3694426267180977,0.46129110346150115,0.1013940717109916
S1A_3381907,0.8533644917769763,0.14421696036949547,0.7607407188397074,NA,NA,NA,NA,NA,0.7326848693567405,NA
S1A_3381967,0.036761595018635344,0.08520288920585256,0.2252394177195742,0.13975880609064315,0.7404476345587603,0.8684766691762019,0.14584836204856788,0.1530492425667466,0.12284331179149668,0.13354753403552638
S1A_3452684,0.01726172355589583,0.4615426888608648,0.4858507516342532,0.09330134818930742,0.6880349998913292,0.8376338377469016,0.46252634171794416,0.6428389351424453,0.10911804516464425,0.3895916342992237
S1A_3452749,0.16292926892778933,0.015548852325929684,0.00924469646288411,NA,NA,NA,NA,NA,0.4547259840505844,NA
S1A_3516790,0.6370416969528272,0.5593785870579941,0.008251707086115674,NA,NA,NA,NA,NA,0.9450056420670925,NA
S1A_3613321,0.0430951308762941,0.15385131518156006,0.6202652306363083,0.08569221046418435,0.7551921562880328,0.21272195826992293,0.5776654000250989,0.15493432137806126,0.03981847990397304,0.7107555955057077
S1A_3613616,0.8797532581718294,0.3396189808696404,0.7714704334977813,0.8050202331377865,0.7058172190953803,0.4795255430406772,0.2331975544915791,0.42454449070164557,0.8703041862410992,0.1274648487576143
S1A_3618173,0.14499206528239836,0.45456361970830894,0.5879138837463767,0.8050202331377865,0.7058172190953803,0.4795255430406772,0.2331975544915791,0.42454449070164557,0.5914248241101228,0.1274648487576143
S1A_3657148,0.26447790985826874,0.6604705927708299,0.42290117588501075,NA,NA,NA,NA,NA,0.08651078514159703,NA
S1A_3681123,0.08097836587099683,0.549188419949773,0.03178257086858542,0.5615525566085702,0.8380339066931817,0.2827923325974299,0.01868336143243824,0.020873363882539034,0.17882161005886296,0.48720541661524
S1A_3702037,0.00358840875255066,0.1705255625402487,0.10391683956716044,0.5615525566085702,0.8380339066931817,0.2827923325974299,0.01868336143243824,0.020873363882539034,0.061632058260951035,0.48720541661524
S1A_3795226,0.33019637475397523,0.31753464068865195,0.3716987162933235,0.18762375839515394,0.014763941918575468,0.3869650421599473,0.6200919613991425,0.5577767977256836,0.408151260222131,0.0977460302395768
S1A_3943497,0.8464632752334069,0.6811334439662269,0.5226342081698747,0.8050202331377865,0.7058172190953803,0.4795255430406772,0.2331975544915791,0.42454449070164557,0.9881751512893304,0.1274648487576143
S1A_4090235,0.4547942262751147,0.03656572147949274,0.41672607222674307,0.8324983312989231,0.4788301376893167,0.13289775509175186,0.5299186568710229,0.21854121161500337,0.47555236652096655,0.2980165087628067
S1A_4213050,0.550954591113763,0.4618217874541366,0.6631331649623491,0.6965868315073339,0.5694418679163304,0.8535745613786514,0.9210512104499298,0.47440766340990814,0.5465469442560329,0.02888664656710736
S1A_4363168,0.08916312046058722,0.5543395019385868,0.45436215466730256,0.08926155034909364,0.6316305424927267,0.7872031378021517,0.5137054053586885,0.6811672248404509,0.3781621052706168,0.42056869343598946
S1A_4700791,0.10424900190761566,0.7344492466194563,0.019822291850430978,NA,NA,NA,NA,NA,0.81032561746778,NA
S1A_4700809,0.053656144265425615,0.7810589931752909,0.01521294570650365,NA,NA,NA,NA,NA,0.8799832584638083,NA
S1A_5149784,0.8487130842117321,0.1006612469716991,0.6656979074707612,NA,NA,NA,NA,NA,0.1265992055403776,NA
S1A_5491807,0.5887559876259552,0.3752115767687887,0.037789861167196834,0.057439182061749694,0.17788822992707856,0.23808218029697295,0.6226413711226939,0.3289988219482355,0.046733723065049436,0.09693375229110215
S1A_5565985,0.030175281072381707,0.18429488059895213,0.015373709187126054,NA,NA,NA,NA,NA,0.09724495940013361,NA
S1A_6345753,0.668842230604408,0.22425570792892702,0.053340130549713545,0.39568406040747095,0.11956706311547242,0.029818621065970833,0.22649721942857126,0.008091118896450825,0.5663526605132894,0.14611855429248088
S1A_6370123,0.9306998062929968,0.1414728524524391,0.8776120873295596,0.7780942064393984,0.08148325229990662,0.5222760946181109,0.8248951151951694,0.3619933367516385,0.605364955208326,0.13483671978429315
S1A_6370156,0.18778071170314858,0.2796545423160946,0.7442452007681197,0.3525911223406255,0.16167631315473902,0.4054573051977889,0.8033123064781513,0.5371570728431256,0.1321531043775227,0.036013162890028226
S1A_6370170,0.5129977263267622,0.0913218822368749,0.11949831772878765,0.6278918187203517,0.05730327848794473,0.3991738023037851,0.8110539965129314,0.29989945318851885,0.9040919157267637,0.16984971253709802
S1A_6394543,0.9671524021579538,0.1639227038348945,0.8886447554318627,NA,NA,NA,NA,NA,0.5698322227101305,NA
S1A_6405139,0.5762078994427253,0.2563280739786515,0.27820666965553625,0.09330134818930742,0.6880349998913292,0.8376338377469016,0.46252634171794416,0.6428389351424453,0.7303422478001689,0.3895916342992237
S1A_6632531,0.1800541320846742,0.3396010756286205,0.4727525552125058,0.055216058468693194,0.8816789192388244,0.10316494606474416,0.15530504011143828,0.0725951133388015,0.351141535702014,0.7628033117981371
S1A_6669808,0.33233328443815746,0.5813612140453321,0.280468223713566,0.4405125541759892,0.13801985521942414,0.0278967339207416,0.22115581627203462,0.007782901029080337,0.14300176475231335,0.1528248444195382
S1A_6721112,0.06780577466545476,0.012496653573351122,0.5501326931524368,0.3744129229494816,0.9603162371044848,0.047131503374195485,0.7756758852056502,0.122156669561476,0.01342494939353214,0.8111677778467624
S1A_6765264,0.1574548845660294,0.8007662448857029,0.3291612189274532,NA,NA,NA,NA,NA,0.509829736984222,NA
S1A_6766373,0.13691592491274007,0.8031403111783151,0.275456789111436,0.45385032940746495,0.9903710303379888,0.09290177791765196,0.019929791150017057,0.0041154089860943694,0.9531395315346711,0.23523899861406655
S1A_6766389,0.7965671997001964,0.2833880009975574,0.09416861381108924,0.00740433312176084,0.5118066564866639,0.23391420595719098,0.2756685961611325,0.2265917177485505,0.10731630815835044,0.7077024778810961
S1A_6770617,0.3486188627964213,0.8550991511934511,0.6949630613665363,0.026898520039023075,0.7912037905133867,0.8414609987287032,0.7499709090760839,0.7868712098434357,0.04961211509758337,0.020050153139163623
S1A_6770618,0.46583247188618604,0.2565647688850117,0.4981241183680185,0.026898520039023075,0.7912037905133867,0.8414609987287032,0.7499709090760839,0.7868712098434357,0.13087920238610137,0.020050153139163623
S1A_6776219,0.4482028304851663,0.12244041464952077,0.6188129727077193,0.9312199416712752,0.06710434333088153,0.14896977733953107,0.6223383937067836,0.10249156039411544,0.511947465918986,0.16917987755977992
S1A_6812534,0.8465620680990773,0.06137521802943004,0.848104905105636,0.9697141167510719,0.1150592275367532,0.625649455737617,0.8205887462981387,0.4178330826541963,0.7961767899250852,0.24394181101614001
S1A_6870929,0.37874459793278414,0.029765347619658086,0.8216149553851022,0.8841157379018932,0.0556569547424393,0.13873105996300786,0.6226915169387146,0.0943472486839861,0.2597821123751419,0.15684177482555547
S1A_7191475,0.027574728715194428,0.9873643529511644,0.25152388815334054,0.3983619429979647,0.7111716850506007,0.9084706927351303,0.1055856436211961,0.2842391570918681,0.2607569365399826,0.31304389520087156
S1A_7214017,0.6519701744497157,0.6638848804264573,0.20232438171395217,0.23795306545061132,0.8238983890964116,0.23798038323443596,0.20096894512078337,0.07901355505144043,0.9557909342899393,0.5767623213315809
S1A_7214024,0.10953979907311209,0.2007431878182237,0.7470476254361271,0.3266804713165474,0.11548468552946113,0.3258892235541241,0.7527846551375396,0.44957645959787274,0.06620563026576536,0.03556328175305565
S1A_7233300,0.27128157289154364,0.04219734543541434,0.3653657215024986,0.20121873576437369,0.08529522219633126,0.192117362746418,0.4226563682622777,0.05396299493430104,0.2290839766297424,0.29049001647925954
S1A_7233302,0.28278674069924503,0.09432729816737852,0.12420724715758157,0.0034871315470378817,0.05823048438182136,0.9318556513885077,0.31778336062421036,0.5709248993660858,0.4665602492929457,0.9192883499507406
S1A_7274964,0.2520888814751139,0.30976947325219734,0.08601295241241928,0.23795306545061132,0.8238983890964116,0.23798038323443596,0.20096894512078337,0.07901355505144043,0.8559747026856349,0.5767623213315809
S1A_7277935,0.9440210204553036,0.09190341865563799,0.3048389528014112,0.6332704909460123,0.04022266341132528,0.7374799157480727,0.6354184735877757,0.7812822858942166,0.6997639926605721,0.12950481710215697
S1A_7315305,0.029322138926076154,0.6938006967285586,0.4333015989583442,0.11263880317835116,0.6234940576826,0.9522015376410295,0.41145922446286964,0.5813945768742441,0.1094870578559088,0.3541163678337633
S1A_8174650,0.02433194321235325,0.5918958489502213,0.22283753116691432,NA,NA,NA,NA,NA,0.1100227500254102,NA
S1A_8174678,0.06456545605662138,0.5262822694551686,0.49766579733523064,0.7751756788191727,0.3157772246352934,0.6138506668849797,0.5158850402407787,0.3040790261061574,0.6226167404830527,0.014391799907862858
S1A_8295817,0.6899142867570365,0.03512918814740193,0.15686310291765,0.549497775285396,0.16080644847912273,0.24983604465592701,0.6523294792968438,0.4398253076430467,0.44336406866669764,0.5199623469674673
S1A_8297293,0.7147532115254366,0.9164132871484632,0.11288852482956954,0.46432714323692126,0.42570181195390844,0.13039243590402544,0.9127423181772865,0.500561190895433,0.6725310735876187,0.1583467321509395
S1A_8320421,0.7428009271616964,0.42293746427298096,0.14988721364885524,0.002396182842488081,0.12127256389188242,0.36747681854108716,0.04749187058739235,0.37765238764806275,0.17656753981520593,0.03774843210554705
S1A_8320460,0.589489980772284,0.3710910054235176,0.08750342361336669,0.2901501970546523,0.7742853635386435,0.7799144248009389,0.7953748647935831,0.9457136314324862,0.4182109328066892,0.06287760590369564
S1A_8401041,0.7659592309173915,0.7658739327018871,0.8848309374512049,0.43897121097988057,0.9777989745327088,0.2161646904170235,0.8314061114077678,0.11849224064364447,0.27073339844332545,0.22333599905306695
