"Entry","Awns","WDR","Powdery_mildew","SNB","Height","Rust","ave_SpS","ave_infert","WeightOf1000Particles","SampleAreaAverage","WKAreaMedian","days_to_head","seeds_per_spikelet"
"AGS2000",1,2.53333333333333,NA,NA,88.3333333333333,NA,NA,NA,NA,NA,NA,158,NA
"ARGA051160-14LE31",0.0645161290322581,1.96774193548387,NA,NA,87.258064516129,NA,NA,NA,NA,NA,NA,159.838709677419,NA
"GA001138-8E36",1,2.86206896551724,NA,NA,92.2413793103448,NA,NA,NA,NA,NA,NA,161.586206896552,NA
"GA00190-7A14",1,2.43333333333333,NA,NA,88.1666666666667,NA,NA,NA,NA,NA,NA,159.966666666667,NA
"GA05450-EL52",1,2.9,NA,NA,78.5,NA,NA,NA,NA,NA,NA,155.966666666667,NA
"GA06493-13LE6",1,2.43333333333333,NA,NA,86,NA,NA,NA,NA,NA,NA,161.233333333333,NA
"Hilliard",1,1.6,NA,NA,84.1666666666667,NA,NA,NA,NA,NA,NA,160.7,NA
"LA09264C-P2",1,3.53333333333333,NA,NA,78.5,NA,NA,NA,NA,NA,NA,158.533333333333,NA
"MPV57",0,1.9,NA,NA,85.8333333333333,NA,NA,NA,NA,NA,NA,160.466666666667,NA
"NC08-23383",0,2.23333333333333,NA,NA,79.5,NA,NA,NA,NA,NA,NA,160.3,NA
"NC8248-1",1,2.96666666666667,NA,NA,81,NA,NA,NA,NA,NA,NA,154.3,NA
"SS8641",0,2.63333333333333,NA,NA,84.3333333333333,NA,NA,NA,NA,NA,NA,158.4,NA
"TX12D4896",1,2.86666666666667,NA,NA,84,NA,NA,NA,NA,NA,NA,159.733333333333,NA
"UX1989-1",1,3,0,2,90,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-10",1,2,NA,3,75,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-100",1,3,NA,4,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-102",1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,156,NA
