ID,Date,Time,ProductType,InstrumentID,CalibrationFile,SWVersion,SampleName,SampleComments,SampleError,SampleWeight,NumberOfParticles,WeightOf1000Particles,RiceType,RiceTypeCalculatedBy,LabLMedian,LabAMedian,LabBMedian,LabLMode,LabAMode,LabBMode,WKWeightPerc,BrokenWeightPerc,OutlierWeightPerc,ChalkyWeightPerc,LightChalkyWeightPerc,TotalChalkyWeightPerc,BlackWeightPerc,RedWeightPerc,YellowWeightPerc,GreenWeightPerc,OtherWeightPerc,LongRiceWeightPerc,MediumRiceWeightPerc,ShortRiceWeightPerc,WKNumber,BrokenKernelsNumber,OutlierNumber,ChalkyKernelsNumber,LightChalkyKernelsNumber,TotalChalkyKernelsNumber,BlackKernelsNumber,RedKernelsNumber,YellowKernelsNumber,GreenKernelsNumber,OtherKernelsNumber,LongRiceNumber,MediumRiceNumber,ShortRiceNumber,WKPerc,BrokenKernelsPerc,OutlierKernelsPerc,ChalkyKernelsPerc,LightChalkyKernelsPerc,TotalChalkyKernelsPerc,BlackKernelsPerc,RedKernelsPerc,YellowKernelsPerc,GreenKernelsPerc,OtherKernelsPerc,LongRiceKernelsPerc,MediumRiceKernelsPerc,ShortRiceKernelsPerc,SampleLengthAverage,SampleWidthAverage,SampleAreaAverage,SampleLWAverage,WKWidthAverage,WKLengthAverage,WKAreaAverage,WKLWAverage,SampleWidthMedian,SampleLengthMedian,SampleAreaMedian,WKWidthMedian,WKLengthMedian,WKAreaMedian,SampleWidthSTDEV,SampleLengthSTDEV,SampleAreaSTDEV,WKWidthSTDEV,WKLengthSTDEV,WKAreaSTDEV,BrokenThreshold,OutlierThresholdWidth,OutlierThresholdLength,OutlierThresholdArea,OutlierThresholdLW,BrokenDefinedAsFailPerc,ChalkyDefinedAsFailPerc,LightChalkyDefinedAsFailPerc,BlackDefinedAsFailPerc,RedDefinedAsFailPerc,YellowDefinedAsFailPerc,GreenDefinedAsFailPerc,OtherDefinedAsFailPerc,ChalkyLabMin,ChalkyLabMax,LightChalkyLabMin,LightChalkyLabMax,BlackLabMin,BlackLabMax,RedLabMin,RedLabMax,YellowLabMin,YellowLabMax,GreenLabMin,GreenLabMax,OtherColorLabMin,OtherColorLabMax,LongRiceUSDAMin,LongRiceUSDAMax,MediumRiceUSDAMin,MediumRiceUSDAMax,ShortRiceUSDAMin,ShortRiceUSDAMax,AverageWKChalkyPercentage,std_l,std_a,std_b,sampleAveragePerimeter
1,2022_7_11,16:47:52,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-158_4-7-4_Ap,,,10.200,261,42.900,Mixed,L/W,58.430,10.000,33.000,59.220,10.000,35.000,97.577,2.423,0.372,0.030,0.000,0.030,0.035,0.000,0.000,0.237,0.907,0.000,75.389,21.816,232,27,2,1,0,1,1,0,0,3,10,0,184,48,88.889,10.345,0.766,0.383,0.000,0.383,0.383,0.000,0.000,1.149,3.831,0.000,70.498,18.391,6.119,3.132,14.307,1.954,3.300,6.506,15.604,1.977,3.308,6.491,15.594,3.343,6.562,15.948,0.583,1.234,4.333,0.277,0.472,2.312,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.055,3.541,2.316,4.472,15.529
2,2022_7_11,16:49:5,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-46_4-8-1_Ap,,,8.000,244,34.905,Mixed,L/W,60.000,10.000,33.000,63.140,10.000,35.000,97.298,2.702,0.315,0.000,2.736,2.736,0.000,0.000,0.000,0.027,0.000,0.000,72.415,24.568,223,19,2,0,10,10,0,0,0,1,0,0,177,46,91.393,7.787,0.820,0.000,4.098,4.098,0.000,0.000,0.000,0.410,0.000,0.000,72.541,18.852,5.904,2.988,12.891,1.976,3.066,6.163,13.645,2.027,3.133,6.197,13.865,3.154,6.261,14.223,0.481,0.997,3.452,0.362,0.489,2.435,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.048,2.840,1.584,3.081,14.865
3,2022_7_11,16:53:34,GRAINS,147,WHEAT,  7.0.30 ,R22_AGS2000_4-8-2_Ap,,,8.600,299,35.217,Medium,L/W,59.220,10.000,31.000,59.220,10.000,33.000,93.366,6.634,0.673,0.113,4.831,4.944,0.000,0.000,0.000,0.085,0.094,0.000,83.196,9.497,228,65,6,3,37,40,0,0,0,4,2,0,206,22,76.254,21.739,2.007,1.003,12.375,13.378,0.000,0.000,0.000,1.338,0.669,0.000,68.896,7.358,5.694,2.777,11.900,2.051,3.049,6.523,14.385,2.152,2.990,6.330,13.750,3.115,6.623,14.794,0.678,1.711,5.181,0.330,0.651,2.726,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.127,4.401,2.880,5.827,14.398
4,2022_7_11,16:55:1,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-167_4-8-3_Ap,,,11.000,329,36.441,Mixed,L/W,59.220,10.000,31.000,61.180,10.000,33.000,97.728,2.272,0.710,0.121,4.550,4.671,0.045,0.000,0.000,0.049,0.000,0.000,75.654,21.363,295,29,5,2,29,31,1,0,0,3,0,0,235,60,89.666,8.815,1.520,0.608,8.815,9.423,0.304,0.000,0.000,0.912,0.000,0.000,71.429,18.237,5.986,3.023,13.484,1.980,3.165,6.313,14.554,2.005,3.202,6.312,14.948,3.248,6.414,15.471,0.576,1.195,4.220,0.350,0.602,2.842,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.145,3.348,1.968,3.905,15.158
5,2022_7_11,16:56:35,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-25_4-8-4_Ap,,,11.100,386,31.077,Mixed,L/W,56.860,9.000,31.000,59.610,8.000,33.000,98.271,1.729,1.480,0.000,0.822,0.822,0.375,0.000,0.000,0.049,0.076,0.000,79.884,16.907,351,24,11,0,10,10,1,0,0,3,2,0,300,51,90.933,6.218,2.850,0.000,2.591,2.591,0.259,0.000,0.000,0.777,0.518,0.000,77.720,13.212,6.073,2.806,12.795,2.164,2.915,6.293,13.593,2.189,2.874,6.283,13.361,2.923,6.358,13.789,0.568,1.056,3.897,0.433,0.646,2.983,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.017,3.623,1.687,3.123,15.201
6,2022_7_11,16:57:56,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-148_4-9-1_Ap,,,8.500,234,37.900,Mixed,L/W,60.390,10.000,33.000,63.140,10.000,35.000,98.985,1.015,0.883,0.000,1.765,1.765,0.000,0.000,0.000,0.000,0.018,0.000,59.015,39.088,222,7,5,0,6,6,0,0,0,0,1,0,144,78,94.872,2.991,2.137,0.000,2.564,2.564,0.000,0.000,0.000,0.000,0.427,0.000,61.538,33.333,6.170,3.121,14.153,1.977,3.183,6.290,14.617,2.002,3.292,6.307,14.860,3.311,6.337,15.085,0.515,0.780,3.396,0.432,0.549,2.790,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.072,3.260,1.329,2.603,15.560
7,2022_7_11,16:59:17,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-145_4-9-2_Ap,,,8.500,244,36.224,Mixed,L/W,58.430,9.000,32.000,59.220,10.000,35.000,98.872,1.128,0.432,0.049,1.119,1.168,0.000,0.000,0.000,0.000,0.000,0.000,37.760,60.680,232,9,3,1,6,7,0,0,0,0,0,0,107,125,95.082,3.689,1.230,0.410,2.459,2.869,0.000,0.000,0.000,0.000,0.000,0.000,43.852,51.230,5.924,3.099,13.253,1.911,3.166,6.011,13.700,1.917,3.196,5.995,13.909,3.216,6.008,14.018,0.477,0.684,2.878,0.352,0.378,2.107,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.002,3.740,1.767,3.426,15.029
8,2022_7_11,17:3:27,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-161_4-9-3_Ap,,,11.200,310,39.523,Mixed,L/W,57.250,9.000,32.000,59.220,10.000,35.000,97.395,2.605,0.212,0.054,3.537,3.591,0.000,0.000,0.000,0.070,0.168,0.000,72.287,24.897,276,31,3,1,21,22,0,0,0,3,3,0,211,65,89.032,10.000,0.968,0.323,6.774,7.097,0.000,0.000,0.000,0.968,0.968,0.000,68.065,20.968,5.967,3.037,13.579,1.965,3.177,6.335,14.753,2.004,3.213,6.372,14.965,3.252,6.456,15.360,0.629,1.257,4.494,0.385,0.631,3.000,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.020,4.243,2.484,4.698,15.192
9,2022_7_11,17:4:44,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-156_4-9-4_Ap,,,10.100,291,36.424,Mixed,L/W,58.430,10.000,33.000,59.220,10.000,35.000,98.452,1.548,0.000,0.000,1.030,1.030,0.361,0.000,0.000,0.059,0.236,0.000,70.794,27.658,273,18,0,0,8,8,3,0,0,3,3,0,207,66,93.814,6.186,0.000,0.000,2.749,2.749,1.031,0.000,0.000,1.031,1.031,0.000,71.134,22.680,6.037,3.024,13.787,1.996,3.097,6.258,14.432,2.039,3.141,6.270,14.739,3.188,6.318,14.884,0.520,1.041,3.819,0.395,0.564,2.873,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.022,3.751,1.937,3.461,15.369
10,2022_7_11,17:6:49,GRAINS,147,WHEAT,  7.0.30 ,R22_UX2023-147_4-10-1_Ap,,,9.800,278,38.181,Mixed,L/W,58.430,10.000,32.000,59.220,10.000,35.000,97.400,2.600,0.167,0.000,1.437,1.437,0.000,0.000,0.000,0.065,0.321,0.000,70.329,26.904,250,27,1,0,13,13,0,0,0,3,3,0,185,65,89.928,9.712,0.360,0.000,4.676,4.676,0.000,0.000,0.000,1.079,1.079,0.000,66.547,23.381,5.931,3.035,13.486,1.954,3.162,6.261,14.528,1.988,3.182,6.312,14.780,3.220,6.361,15.092,0.546,1.145,3.921,0.319,0.524,2.385,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.020,3.549,1.975,3.470,15.144
