,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Plot_ID,Cross_ID,Cross,Tray,Entry,Awns,Notes,Plot,WDR 3/7,flowering,FT (JD),notes,picture,rust score,rust score,Powdery Mildew,Height,N_awns
Kin22-SunRilHR-1,Marker,Marker,1.1.1,Barley,+,.,1,1,4/17/2022,107,,,,,,,+
Kin22-SunRilHR-2,UX2026,ARGA051160-14LE31/HILLIARD,1.1.2,UX2026-208,+,.,2,3,4/6/2022,96,,,R10,5,0,75,+
Kin22-SunRilHR-3,UX2026,ARGA051160-14LE31/HILLIARD,1.1.3,UX2026-179,+,.,3,2,4/13/2022,103,,,S50,,1,85,+
Kin22-SunRilHR-4,UX2026,ARGA051160-14LE31/HILLIARD,1.1.4,UX2026-165,+,.,4,3,4/5/2022,95,,,S70,,1,85,+
Kin22-SunRilHR-5,UX2026,ARGA051160-14LE31/HILLIARD,1.2.1,UX2026-178,+,.,5,2,4/11/2022,101,,,S50,,1,75,+
Kin22-SunRilHR-6,UX2026,ARGA051160-14LE31/HILLIARD,1.2.2,UX2026-164,-,.,6,3,4/6/2022,96,,,S60,,1,80,-
Kin22-SunRilHR-7,UX2026,ARGA051160-14LE31/HILLIARD,1.2.3,UX2026-207,+,.,7,3,4/5/2022,95,,,R10,,1,80,+
Kin22-SunRilHR-8,UX2026,ARGA051160-14LE31/HILLIARD,1.2.4,UX2026-340,-,.,8,2,4/9/2022,99,,,S50,,0,85,-
Kin22-SunRilHR-9,UX2026,ARGA051160-14LE31/HILLIARD,1.3.1,UX2026-206,-,.,9,4,4/4/2022,94,,,S40,,1,85,-
Kin22-SunRilHR-10,Parent,Parent,1.3.2,NC8248-1,+,VA-267,10,4,3/31/2022,90,,,S,,0,80,+
Kin22-SunRilHR-11,UX2026,ARGA051160-14LE31/HILLIARD,1.3.3,UX2026-163,+,.,11,3,4/7/2022,97,,,S50,,0,75,+
Kin22-SunRilHR-12,UX2026,ARGA051160-14LE31/HILLIARD,1.3.4,UX2026-176,+,.,12,2,4/6/2022,96,,,S50,,1,70,+
Kin22-SunRilHR-13,UX2026,ARGA051160-14LE31/HILLIARD,1.4.1,UX2026-175,+,.,13,2,4/11/2022,101,,,S,,1,75,+
Kin22-SunRilHR-14,UX2026,ARGA051160-14LE31/HILLIARD,1.4.2,UX2026-161,+,.,14,4,4/3/2022,93,,,S,,0,75,+
Kin22-SunRilHR-15,UX2026,ARGA051160-14LE31/HILLIARD,1.4.3,UX2026-205,-,.,15,1,4/10/2022,100,,,R,,0,65,-
Kin22-SunRilHR-16,UX2026,ARGA051160-14LE31/HILLIARD,1.4.4,UX2026-339,*,.,16,3,4/5/2022,95,,,R,,0,75,mixed
Kin22-SunRilHR-17,UX2026,ARGA051160-14LE31/HILLIARD,1.5.1,UX2026-334,-,.,17,1,4/11/2022,101,,,R,,1,70,mixed
Kin22-SunRilHR-18,UX2026,ARGA051160-14LE31/HILLIARD,1.5.2,UX2026-203,+,.,18,3,4/9/2022,99,,,R,,0,80,+
Kin22-SunRilHR-19,UX2026,ARGA051160-14LE31/HILLIARD,1.5.3,UX2026-173,+,.,19,2,4/7/2022,97,,,R30,,0,75,+
Kin22-SunRilHR-20,UX2026,ARGA051160-14LE31/HILLIARD,1.5.4,UX2026-168,+,.,20,2,4/8/2022,98,,,R10,,0,75,+
Kin22-SunRilHR-21,UX2026,ARGA051160-14LE31/HILLIARD,1.6.1,UX2026-172,-,.,21,3,4/6/2022,96,,,R5,,,80,+
Kin22-SunRilHR-22,UX2026,ARGA051160-14LE31/HILLIARD,1.6.2,UX2026-167,+,.,22,3,4/11/2022,101,,,R30,,,85,+
Kin22-SunRilHR-23,Parent,Parent,1.6.3,NC08-23383,-,R-2.1.2,23,2,4/11/2022,101,,,R,,,75,-
Kin22-SunRilHR-24,UX2026,ARGA051160-14LE31/HILLIARD,1.6.4,UX2026-202,+,.,24,3,4/7/2022,97,,,S,,,80,+
Kin22-SunRilHR-25,UX2026,ARGA051160-14LE31/HILLIARD,1.7.1,UX2026-201,+,.,25,3,4/6/2022,96,,,R40,,,85,+
Kin22-SunRilHR-26,UX2026,ARGA051160-14LE31/HILLIARD,1.7.2,UX2026-311,+,.,26,2,4/10/2022,100,,,R,,,110,+
Kin22-SunRilHR-27,UX2026,ARGA051160-14LE31/HILLIARD,1.7.3,UX2026-154,-,.,27,3,4/7/2022,97,,,R10,,,85,-
Kin22-SunRilHR-28,UX2026,ARGA051160-14LE31/HILLIARD,1.7.4,UX2026-335,-,.,28,2,4/8/2022,98,,,S,,,80,-
Kin22-SunRilHR-29,Parent,Parent,1.8.1,ARGA051160-14LE31,-,VA-510,29,2,4/11/2022,101,,,R,,,90,mixed
Kin22-SunRilHR-30,UX2026,ARGA051160-14LE31/HILLIARD,1.8.2,UX2026-155,-,.,30,3,4/8/2022,98,,,S,,,85,-
Kin22-SunRilHR-31,UX2026,ARGA051160-14LE31/HILLIARD,1.8.3,UX2026-327,+,.,31,2,4/8/2022,98,,,S,,,80,+
Kin22-SunRilHR-32,UX2026,ARGA051160-14LE31/HILLIARD,1.8.4,UX2026-197,-,.,32,2,4/7/2022,97,,,S,,,70,-
